price,name,location,bedroom,bathroom,land_area,building_area
"Rp 1,1 Miliar",Rumah Griya Babatan Mukti,"Wiyung, Surabaya",4,3,135 m²,125 m²
"Rp 1,5 Miliar",Dijual Rumah 2 Lantai di Wisma Tengger Surabaya Barat,"Benowo, Surabaya",3,2,153 m²,153 m²
"Rp 1,1 Miliar",Rumah Griya Babatan Mukti,"Wiyung, Surabaya",4,3,135 m²,125 m²
"Rp 1,9 Miliar","Wisma Mukti Klampis Semolo Selangkah Ke Merr, Rungkut, Sby Timur","Sukolilo, Surabaya",2,1,95 m²,120 m²
"Rp 1,4 Miliar","Rumah Minimalis Bagus Siap Huni Selangkah Ke Upn, Merr","Rungkut, Surabaya",3,2,78 m²,78 m²
"Rp 1,5 Miliar",Rumah Surabaya Barat Taman Pondok Indah Wiyung,"Wiyung, Surabaya",3,2,140 m²,120 m²
"Rp 1,85 Miliar",Disewakan Rumah Grand Pakuwon Siap Huni,"Tandes, Surabaya",2,2,72 m²,70 m²
"Rp 1,1 Miliar","RUMAH 1 LANTAI BARU GRESS, SIAP HUNI, LINGKUNGAN SUDAH TERBENTUK, ASRI DEKAT TOL WARU KEBRAON KLETEK.READY 4 UNIT","Kebraon, Surabaya",2,1,102 m²,49 m²
"Rp 1,2 Miliar","Dijual Rumah 1 Lantai Darmo Indah Asri, Tandes Surabaya Barat","Tandes, Surabaya",2,1,120 m²,100 m²
Rp 850 Juta,Rumah Dijual Semolowaru Utara Sukolilo Surabaya,"Sukolilo, Surabaya",4,2,94 m²,94 m²
Rp 1 Miliar,Rumah Murah Sidokare Sidoarjo Jual Cpt B.u Perum Bumi Citra Fajar,"Sidoarjo, Sidoarjo",3,3,96 m²,96 m²
"Rp 1,25 Miliar",Dijual Rumah Murah Babatan Pantai,"Kenjeran, Surabaya",2,1,96 m²,100 m²
Rp 600 Juta,"Rumah Baru Gress Di Mansion Nine, Lakarsantri - Surabaya Barat","Lakarsantri, Surabaya",2,1,60 m²,48 m²
"Rp 1,35 Miliar",Dijual Rumah Shm 2 Lantai Sudah Renovasi,"Sambikerep, Surabaya",4,2,59 m²,71 m²
"Rp 1,26 Miliar","Rumah 1M An, Daerah Gunung Anyar, Rungkut, Medokan, Free Ppn 100 Persen","Gununganyar, Surabaya",2,1,50 m²,59 m²
"Rp 1,8 Miliar",Gading Pantai Kenjeran Surabaya Rumah New Scandinavian Nego,"Kenjeran, Surabaya",4,3,90 m²,120 m²
Rp 970 Juta,Rumah Bukit Palma Northwest Park Lake Citraland Surabaya Barat,"Citraland, Surabaya",3,2,90 m²,90 m²
"Rp 1,5 Miliar","Rumah 2 Lantai Bagus di Gunung Sari Indah Wiyung, Surabaya","Wiyung, Surabaya",5,2,160 m²,230 m²
"Rp 1,2 Miliar","Rumah Murah Dan Row Jalan Lebar di Gunung Sari Indah Wiyung, Surabaya","Wiyung, Surabaya",3,3,120 m²,130 m²
"Rp 1,3 Miliar","Rumah Siap Huni di Gunung Sari Indah Wiyung, Surabaya","Wiyung, Surabaya",5,3,96 m²,190 m²
"Rp 1,6 Miliar",Dijual Rumah 3 Lantai Shm Bagus Royal Residence Serenade,"Wiyung, Surabaya",3,2,50 m²,105 m²
"Rp 1,8 Miliar",Ploso Timur Dijual Rumah 2 Lantau Bagus Semi Furnished,"Tambaksari, Surabaya",8,4,180 m²,260 m²
"Rp 1,6 Miliar",Dijual Rumah 3 Lantai Shm Bagus Royal Residence Serenade,"Wiyung, Surabaya",3,2,50 m²,105 m²
Rp 2 Miliar,Villa Kalijudan Dijual  Rumah 1 Lantai Unfurnished,"Tambaksari, Surabaya",3,2,270 m²,120 m²
"Rp 1,77 Miliar","Rumah Baru SHM di Pakuwon City - Zimbalicosta, Surabaya","Sukolilo, Surabaya",3,2,72 m²,84 m²
"Rp 1,3 Miliar",Ploso Timur Rumah 2 Lantai Dijual Baru Gress Nego Unfurnished,"Tambaksari, Surabaya",3,3,72 m²,110 m²
Rp 600 Juta,Gebang Raya,"Sidoarjo, Sidoarjo",3,2,150 m²,150 m²
"Rp 1,25 Miliar",Dijual Rumah Rungkut Asri Timur Surabaya Ron.a2074,"Rungkut, Surabaya",3,2,51 m²,68 m²
Rp 1 Miliar,Selangkah Dari Raya Arjuno Rumah Hitung Tanah Kedungdoro Surabaya 11x25 Cocok Utk Kost Bebas Banjir,"Tegalsari, Surabaya",2,1,275 m²,80 m²
"Rp 1,9 Miliar",Rumah 2 Lantai Di Koala Regency. Shm. Hadap Selatan. Bagus Full Furnished. Nego,"Sukolilo, Surabaya",3,3,102 m²,137 m²
Rp 925 Juta,Rumah Di Wonorejo Selatan Baru. Shm. Bagus.murah,"Rungkut, Surabaya",2,1,70 m²,60 m²
"Rp 1,8 Miliar",Dijual Rumah di Central Park Gununganyar,"Gununganyar, Surabaya",3,1,144 m²,100 m²
"Rp 1,75 Miliar",Termurah di Kelasnya Nirwana Executive Rumah Siap Huni,"Wonorejo, Surabaya",3,2,160 m²,120 m²
Rp 567 Juta,Dijual Rumah Western Village Sememi Muraahhh,"Benowo, Surabaya",2,1,90 m²,60 m²
"Rp 1,95 Miliar",Dijual Rumah Siap Huni di Gunung Anyar Terawat Full Furnish,"Gununganyar, Surabaya",3,2,180 m²,150 m²
"Rp 1,03 Miliar",RUMAH DI RUNGKUT ASRI DEKAT MERR DAN KAMPUS UPN 1M-AN,"Rungkut, Surabaya",3,2,50 m²,70 m²
"Rp 1,75 Miliar",Rumah Di Panjang Jiwo Tenggilis Surabaya 5797 Murah,"Panjang Jiwo, Surabaya",3,2,200 m²,150 m²
"Rp 1,95 Miliar",Dijual Rumah Baru Gress Siap Huni Klampis Semolo Timur Dekat Merr,"Semolowaru, Surabaya",3,3,82 m²,120 m²
"Rp 1,37 Miliar",Yang cari 1 man. Baru di renovasi Rumah Darmo Indah Selatan. Siap Huni,"Darmo permai, Surabaya",2,2,90 m²,85 m²
"Rp 1,35 Miliar",Konsep Bagus. Rumah Tengah Kota Lebak Jaya Ii Tengah Dkt Merr. Galaxy Mall. Pakuwon  City Mall Dll,"Kenjeran, Surabaya",3,2,75 m²,130 m²
"Rp 1,95 Miliar",Murah Rumah Kos di Siwalankerto Permai,"Wonocolo, Surabaya",10,3,153 m²,180 m²
Rp 950 Juta,RUMAH GAYUNGSARI RESIDENCE,"Gayungan, Surabaya",2,1,84 m²,55 m²
"Rp 1,3 Miliar",RUMAH BERSIH TERAWAT PURIMAS GIANYAR,"Rungkut, Surabaya",5,3,96 m²,120 m²
"Rp 1,6 Miliar",Dijual Rumah Mulyosari Baru Mulyorejo Surabaya Ron.a2043,"Mulyosari, Surabaya",4,2,92 m²,160 m²
"Rp 1,9 Miliar",Dekat Kampus Upn Rumah Rungkut Asri Sby Siap Huni Cocok Utk Kost,"Rungkut, Surabaya",5,3,200 m²,200 m²
"Rp 1,95 Miliar",Rumah Baru 2 Lantai Minimalis Modern Klampis Semolo,"Semolowaru, Surabaya",3,3,82 m²,120 m²
"Rp 1,17 Miliar",Dijual Rumah Lokasi Bebas Banjir Bisa Nego Di Pondok Mutiara Sidoarjo,"Sidoarjo, Sidoarjo",5,3,135 m²,107 m²
Rp 850 Juta,Dijual Rumah Row Jalan Lebar Dekat Lippo Mall Di Pondok Mutiara Sidoarjo,"Sidoarjo, Sidoarjo",4,1,108 m²,108 m²
"Rp 1,65 Miliar","Rumah Bagus Shm Di Taman Pondok Indah, Surabaya","Babatan, Surabaya",3,2,242 m²,160 m²
"Rp 1,9 Miliar","Rumah SHM di Kebraon, Surabaya","Kebraon, Surabaya",3,1,178 m²,170 m²
"Rp 1,5 Miliar","Rumah 2 Lantai SHM di Kebraon, Surabaya","Kebraon, Surabaya",5,3,112 m²,200 m²
Rp 2 Miliar,"Rumah SHM di Dukuh Kupang, Surabaya","Dukuh Kupang, Surabaya",3,2,197 m²,150 m²
"Rp 1,9 Miliar","Rumah Bagus SHM di Graha Sampurna, Surabaya","Wiyung, Surabaya",3,2,193 m²,109 m²
"Rp 1,1 Miliar",Dijual Rumah Bangunan Baru Gress Murah Permata Megah Asri Sidoarjo,"Sidoarjo, Sidoarjo",4,2,120 m²,220 m²
"Rp 1,85 Miliar",Rumah Usaha Rungkut Asri Timur Dekat Upn Cocok Untuk Kantor Rumah Makan,"Rungkut, Surabaya",1,1,200 m²,160 m²
Rp 700 Juta,Dijual Rumah Griya Amerta Regency Medayu Utara Surabaya Ron.a2010,"Rungkut, Surabaya",2,1,66 m²,45 m²
Rp 650 Juta,Full Furnished Minimalis Modern Puri Safira,"Menganti, Surabaya",3,2,60 m²,53 m²
Rp 550 Juta,Rumah selangkah dg Transmart,"Sidoarjo, Sidoarjo",3,1,126 m²,150 m²
"Rp 1,1 Miliar",Dijual Rumah Puri Mas Surabaya,"Rungkut, Surabaya",2,1,84 m²,54 m²
"Rp 1,7 Miliar",RUMAH DEKAT KAMPUS,"Wonocolo, Surabaya",5,4,120 m²,115 m²
"Rp 1,4 Miliar",Jual Rumah Babatan Pantai,"Kenjeran, Surabaya",3,2,96 m²,56 m²
"Rp 1,1 Miliar",Jual Rumah Sukolilo Dian Regency,"Sukolilo, Surabaya",2,1,96 m²,56 m²
"Rp 1,3 Miliar",Jual Rumah Sukolilo Dian Regency,"Sukolilo, Surabaya",2,1,90 m²,90 m²
"Rp 1,5 Miliar",Jual Rumah Medokan Asri,"Rungkut, Surabaya",3,2,100 m²,120 m²
Rp 725 Juta,Jual Rumah Baru Hook Pojok Medokan Sawah Medayu Rungkut Surabaya,"Rungkut, Surabaya",3,2,52 m²,80 m²
Rp 595 Juta,"Baru Gres. Minimalis, Medayu Medokan Tambak Sawah Rungkut 1 lantai","Rungkut, Surabaya",2,1,45 m²,33 m²
"Rp 1,7 Miliar",Jual Rumah Baru Rungkut Asri,"Rungkut, Surabaya",3,2,100 m²,119 m²
Rp 390 Juta,Rumah Shm Sudah Renovasi Dekat Kampus,"Surabaya Kota, Surabaya",2,1,72 m²,54 m²
"Rp 1,47 Miliar","Rumah Kutisari Indah Baru Gress 2 Lantai 1,475m","Kutisari, Surabaya",3,3,75 m²,105 m²
"Rp 1,3 Miliar",Dijual Rumah Amesta Living 2 Lantai Gunung Anyar Semi Furnished,"Gununganyar, Surabaya",3,2,72 m²,75 m²
