iter	Passed	Remaining
1194	3115	795
1195	3118	792
1196	3120	789
1197	3123	787
1198	3125	784
1199	3128	782
1200	3131	779
1201	3133	776
1202	3136	774
1203	3138	771
1204	3141	769
1205	3143	766
1206	3146	763
1207	3148	761
1208	3151	758
1209	3153	755
1210	3156	753
1211	3158	750
1212	3161	748
1213	3164	745
1214	3166	742
1215	3168	740
1216	3171	737
1217	3173	734
1218	3176	732
1219	3178	729
1220	3181	726
1221	3183	724
1222	3186	721
1223	3188	719
1224	3191	716
1225	3193	713
1226	3196	711
1227	3198	708
1228	3201	705
1229	3203	703
1230	3206	700
1231	3208	697
1232	3211	695
1233	3213	692
1234	3216	690
1235	3218	687
1236	3220	684
1237	3223	682
1238	3225	679
1239	3228	676
1240	3230	674
1241	3233	671
1242	3235	669
1243	3238	666
1244	3240	663
1245	3243	661
1246	3245	658
1247	3248	655
1248	3250	653
1249	3253	650
1250	3255	647
1251	3257	645
1252	3260	642
1253	3262	640
1254	3265	637
1255	3267	634
1256	3270	632
1257	3272	629
1258	3275	626
1259	3277	624
1260	3280	621
1261	3282	619
1262	3285	616
1263	3287	613
1264	3290	611
1265	3292	608
1266	3295	606
1267	3297	603
1268	3300	600
1269	3302	598
1270	3305	595
1271	3307	592
1272	3310	590
1273	3312	587
1274	3315	585
1275	3318	582
1276	3320	579
1277	3323	577
1278	3325	574
1279	3328	572
1280	3330	569
1281	3332	566
1282	3335	564
1283	3337	561
1284	3340	558
1285	3342	556
1286	3345	553
1287	3347	550
1288	3350	548
1289	3352	545
1290	3355	543
1291	3357	540
1292	3360	537
1293	3362	535
1294	3364	532
1295	3367	530
1296	3369	527
1297	3372	524
1298	3375	522
1299	3377	519
1300	3380	517
1301	3382	514
1302	3385	511
1303	3387	509
1304	3389	506
1305	3392	503
1306	3394	501
1307	3397	498
1308	3399	496
1309	3402	493
1310	3404	490
1311	3407	488
1312	3409	485
1313	3412	482
1314	3414	480
1315	3416	477
1316	3419	475
1317	3421	472
1318	3424	469
1319	3427	467
1320	3429	464
1321	3432	462
1322	3434	459
1323	3437	456
1324	3439	454
1325	3441	451
1326	3444	449
1327	3446	446
1328	3449	443
1329	3451	441
1330	3454	438
1331	3456	435
1332	3459	433
1333	3461	430
1334	3464	428
1335	3466	425
1336	3469	422
1337	3471	420
1338	3474	417
1339	3476	415
1340	3479	412
1341	3481	409
1342	3484	407
1343	3486	404
1344	3489	402
1345	3491	399
1346	3494	396
1347	3496	394
1348	3499	391
1349	3501	389
1350	3503	386
1351	3506	383
1352	3508	381
1353	3511	378
1354	3513	376
1355	3516	373
1356	3518	370
1357	3521	368
1358	3523	365
1359	3526	362
1360	3528	360
1361	3531	357
1362	3533	355
1363	3536	352
1364	3538	349
1365	3541	347
1366	3544	344
1367	3546	342
1368	3549	339
1369	3551	337
1370	3554	334
1371	3557	331
1372	3559	329
1373	3562	326
1374	3564	324
1375	3567	321
1376	3569	318
1377	3572	316
1378	3574	313
1379	3577	311
1380	3579	308
1381	3582	305
1382	3584	303
1383	3587	300
1384	3589	298
1385	3592	295
1386	3595	292
1387	3597	290
1388	3600	287
1389	3602	285
1390	3605	282
1391	3607	279
1392	3610	277
1393	3612	274
1394	3615	272
1395	3617	269
1396	3620	266
1397	3622	264
1398	3625	261
1399	3627	259
1400	3630	256
1401	3632	253
1402	3635	251
1403	3637	248
1404	3640	246
1405	3642	243
1406	3645	240
1407	3647	238
1408	3650	235
1409	3652	233
1410	3655	230
1411	3657	227
1412	3660	225
1413	3662	222
1414	3665	220
1415	3667	217
1416	3670	214
1417	3672	212
1418	3675	209
1419	3677	207
1420	3680	204
1421	3682	202
1422	3685	199
1423	3687	196
1424	3690	194
1425	3692	191
1426	3695	189
1427	3697	186
1428	3700	183
1429	3702	181
1430	3705	178
1431	3707	176
1432	3710	173
1433	3712	170
1434	3715	168
1435	3718	165
1436	3720	163
1437	3722	160
1438	3725	157
1439	3727	155
1440	3730	152
1441	3732	150
1442	3735	147
1443	3737	144
1444	3740	142
1445	3742	139
1446	3745	137
1447	3747	134
1448	3750	131
1449	3752	129
1450	3755	126
1451	3757	124
1452	3760	121
1453	3762	119
1454	3765	116
1455	3768	113
1456	3770	111
1457	3773	108
1458	3775	106
1459	3778	103
1460	3780	100
1461	3783	98
1462	3785	95
1463	3788	93
1464	3790	90
1465	3793	87
1466	3795	85
1467	3797	82
1468	3800	80
1469	3802	77
1470	3805	75
1471	3807	72
1472	3810	69
1473	3813	67
1474	3816	64
1475	3819	62
1476	3821	59
1477	3824	56
1478	3827	54
1479	3829	51
1480	3832	49
1481	3834	46
1482	3837	43
1483	3839	41
1484	3842	38
1485	3844	36
1486	3847	33
1487	3849	31
1488	3851	28
1489	3854	25
1490	3856	23
1491	3859	20
1492	3861	18
1493	3864	15
1494	3866	12
1495	3869	10
1496	3871	7
1497	3874	5
1498	3876	2
1499	3879	0
